记录数,address,city,closeTime,features,hasArtwork,latitude,longitude,openTime,postalCode,storeName,storeNumber,记录数
1,南岗区None赣水路68号,哈尔滨,1899/12/30 21:00:00,"['OG', 'DL']",伪,45.740409,126.678167,1899/12/30 8:30:00,150000,哈尔滨衡山万达咖啡店,18601-184966,1
1,南岗区地下一层公园大街上二区2-12单元红旗大街301号,哈尔滨,1899/12/30 21:00:00,"['OG', 'PO']",伪,45.757472,126.698663,1899/12/30 9:30:00,150000,哈尔滨红博购物公园店,24697-238404,1
1,南岗区红博一层金座11-1单元哈尔滨市南岗区红旗大街301号,哈尔滨,1899/12/30 21:00:00,"['OG', 'DL']",伪,45.754683,126.699044,1899/12/30 9:00:00,150000,哈尔滨红博会展咖啡店,16216-169990,1
1,牡丹江市西安区None新安街358号万达广场一层,牡丹江市,1899/12/30 21:30:00,"['OG', 'PO']",伪,44.570762,129.601751,1899/12/30 9:30:00,157000,牡丹江万达广场店,58380-292275,1
1,萨尔图区万达广场一层东风路15号,大庆市,1899/12/30 21:30:00,"['OG', 'DL']",伪,46.593831,125.094511,1899/12/30 8:30:00,163000,大庆万达店,23922-233264,1
1,让胡路区None昆仑唐人中心精致楼W101单元,大庆市,1899/12/30 21:00:00,"['OG', 'DL']",伪,46.63582,124.88564,1899/12/30 8:30:00,163000,大庆昆仑唐人店,24352-235271,1
1,大庆市让胡路区中央南大街和大港路交汇处,大庆市,1899/12/30 21:00:00,"['OG', 'DL', 'MIC', 'PO']",伪,46.624522,124.869286,1899/12/30 9:00:00,163000,大庆让胡路万达广场店,59670-293933,1
1,延吉市延吉百利城购物中心光明街688号,延吉,1899/12/30 22:00:00,"['OG', 'MIC', 'PO']",伪,42.907486,129.512207,1899/12/30 9:00:00,133000,延吉百利城店,48978-266169,1
1,昌邑区None重庆路1367号,吉林市,1899/12/30 22:00:00,"['OG', 'MIC']",伪,43.84851,126.566759,1899/12/30 9:00:00,132000,吉林财富广场店,23856-232431,1
1,昌邑区A-21单元和地上二层A-18单元解放路6号欧亚商都地上一层,吉林市,1899/12/30 21:00:00,['OG'],伪,43.850764,126.588288,1899/12/30 9:00:00,132000,吉林欧亚商都店,25518-241004,1
1,昌邑区昌邑万达一层吉林市昌邑区吉林大街518号,吉林市,1899/12/30 21:30:00,['OG'],伪,43.884815,126.56598,1899/12/30 9:30:00,132000,吉林昌邑万达广场店,51803-279165,1
1,长春市净月开发区永顺路388号,长春市,1899/12/30 21:00:00,"['OG', 'MIC', 'PO']",伪,43.769324,125.447039,1899/12/30 10:00:00,130000,长春赛特奥特莱斯门店,57425-291541,1
1,净月开发区B-1单元及B-2单元博学路1555号2#购物广场一层,长春市,1899/12/30 21:30:00,['OG'],伪,43.820705,125.41821,1899/12/30 8:30:00,130000,长春迅驰广场店,24379-236044,1
1,经开区净月大街与新城大街交汇世纪广场旁万豪广场1层星巴克,长春市,1899/12/30 21:00:00,"['OG', 'MIC', 'PO']",伪,43.838934,125.405797,1899/12/30 8:30:00,130000,长春万豪广场门店,57712-290804,1
1,南关区地上一层101号和128号南环城路与临河街交汇南街300米,长春市,1899/12/30 21:30:00,"['OG', 'MIC']",伪,43.813676,125.364878,1899/12/30 8:30:00,130000,长春中海国际广场店,50587-275024,1
1,南关区一层B185单元及二层B203单元亚泰大街1138号,长春市,1899/12/30 21:00:00,"['OG', 'MIC']",伪,43.899038,125.344519,1899/12/30 9:00:00,130000,长春中东新天地店,19934-183627,1
1,重庆路88号None活力城1层,长春市,1899/12/30 21:00:00,"['OG', 'MIC', 'PO']",伪,43.891524,125.333646,1899/12/30 10:00:00,130000,长春活力城咖啡店,29272-252967,1
1,南关区亚泰富苑一、二层西北角重庆路618号,长春市,1899/12/30 21:30:00,['OG'],伪,43.891004,125.32682,1899/12/30 8:00:00,130000,长春亚泰富苑店,20305-204206,1
1,朝阳区百货大楼一层、二层人民大街1881号,长春市,1899/12/30 21:00:00,['OG'],伪,43.89168,125.323926,1899/12/30 8:00:00,130000,长春百货大楼店,18807-195233,1
1,朝阳区一层、二层同志街2288号,长春市,1899/12/30 22:00:00,"['OG', 'MIC']",伪,43.868553,125.318595,1899/12/30 7:30:00,130000,长春中东桂林路店,20199-203944,1
1,朝阳区长春新世纪泓源广场西安大路8号,长春市,1899/12/30 22:00:00,"['OG', 'MIC']",伪,43.888573,125.31883,1899/12/30 7:30:00,130001,长春世纪鸿源店,18080-183625,1
1,宽城区宽城万达广场一层1001号铺位北人民大街以西、铁北二路以北,长春市,1899/12/30 21:30:00,['OG'],伪,43.914167,125.319802,1899/12/30 9:30:00,130000,长春宽城万达店,19590-198304,1
1,朝阳区欧亚新生活一层长春市朝阳区工农大路1899号,长春市,1899/12/30 22:00:00,"['OG', 'MIC']",伪,43.864697,125.306059,1899/12/30 9:00:00,130000,长春欧亚新生活店,50588-275025,1
1,沈河区None哈尔滨路118号,沈阳市,1899/12/30 21:30:00,"['OG', 'DL', 'NCB']",伪,41.813697,123.432347,1899/12/30 7:30:00,110000,沈阳华府天地店,1517-134033,1
1,和平区华府新天地购物中心一层哈尔滨路168号,沈阳市,1899/12/30 21:00:00,"['OG', 'DL']",伪,41.813086,123.437775,1899/12/30 8:00:00,110000,沈阳华府新天地分店,18802-193492,1
1,沈阳市北站路61号沈阳财富中心E座第一层,沈阳市,1899/12/30 21:00:00,"['OG', 'DL', 'PO']",伪,41.814687,123.434439,1899/12/30 7:30:00,110000,沈阳市财富中心店,58570-292783,1
1,沈河区火车北站2层A3与A4检票口中间北站路102号,沈阳市,1899/12/30 21:00:00,"['OG', 'MIC']",伪,41.818701,123.436267,1899/12/30 7:00:00,110000,沈阳北站店,49383-267090,1
1,沈河区地下一层B131号中街路128号,沈阳市,1899/12/30 21:30:00,"['OG', 'MIC']",伪,41.802214,123.455331,1899/12/30 10:00:00,110000,沈阳中街恒隆店,1530-134032,1
1,和平区沈阳城市广场206号一层南京北街,沈阳市,1899/12/30 21:00:00,"['OG', 'DL', 'MIC']",伪,41.794617,123.408432,1899/12/30 7:00:00,110000,沈阳中山广场店,30856-102126,1
1,沈河区None中街路205号0101馆一层,沈阳市,1899/12/30 21:30:00,"['OG', 'DL', 'PO']",伪,41.801197,123.461706,1899/12/30 8:00:00,110000,沈阳中街店,31212-104933,1
1,沈阳市皇姑区长江街99号北航千盛百货一层,沈阳市,1899/12/30 21:00:00,"['OG', 'DL', 'PO']",伪,41.826152,123.413635,1899/12/30 8:30:00,110000,沈阳北行千盛店,57493-291611,1
1,大东区新玛特商场小东路2号,沈阳市,1899/12/30 21:30:00,"['OG', 'DL']",伪,41.802077,123.464875,1899/12/30 9:30:00,110000,沈阳中街新玛特店,22682-219985,1
1,大东区沈阳大悦城B座B101号小东路5号,沈阳市,1899/12/30 22:00:00,"['OG', 'DL', 'NCB', 'RC', 'SBB']",伪,41.801603,123.466074,1899/12/30 8:30:00,110000,沈阳大悦城店,3888-136815,1
1,和平区中兴大厦一层太原北街86号,沈阳市,1899/12/30 22:00:00,"['OG', 'BE', 'DL', 'MIC', 'NCB', 'RC', 'SBB']",伪,41.79243,123.400632,1899/12/30 8:00:00,110000,沈阳中兴店,31948-117366,1
1,和平区百盛购物广场一层L1-5单元中华路21号,沈阳市,1899/12/30 21:30:00,"['OG', 'DL', 'MIC']",伪,41.791861,123.399901,1899/12/30 9:00:00,110000,沈阳太原街百盛分店,19679-201606,1
1,和平区1层LN105号文艺路11号甲沈阳华润中心万象城三期,沈阳市,1899/12/30 22:00:00,"['OG', 'DL', 'MIC', 'PO']",伪,41.777834,123.433513,1899/12/30 7:30:00,110000,沈阳文艺路店,27784-247745,1
1,和平区万达广场室内步行街地面一层112号铺位太原南街2号,沈阳市,1899/12/30 21:30:00,"['OG', 'DL', 'MIC']",伪,41.79138,123.398726,1899/12/30 9:00:00,110000,沈阳太原街万达店,19145-198984,1
1,皇姑区None黄河南大街78号,沈阳市,1899/12/30 21:30:00,"['OG', 'DL', 'MIC', 'PO']",伪,41.835089,123.419499,1899/12/30 7:00:00,110000,沈阳乐购店,16579-173104,1
1,沈阳市青年大街123号嘉里中心115单元,沈阳市,1899/12/30 21:30:00,"['OG', 'DL', 'MIC', 'PO', 'SBB']",伪,41.775242,123.437229,1899/12/30 8:00:00,110000,沈阳嘉里中心店,56967-290948,1
1,和平区沈阳万象城负一层B105青年大街288号,沈阳市,1899/12/30 22:00:00,"['OG', 'MIC', 'NCB', 'RC']",伪,41.77501,123.434729,1899/12/30 8:00:00,110000,沈阳万象城店,1519-134036,1
1,铁西区一层1035号北一中路1号,沈阳市,1899/12/30 21:30:00,"['OG', 'DL', 'MIC']",伪,41.813517,123.380955,1899/12/30 8:00:00,110000,沈阳北一路万达分店,17685-184964,1
1,沈阳市和平区三好街78号东软电脑城C座,沈阳市,1899/12/30 21:00:00,"['OG', 'DL', 'MIC', 'PO']",伪,41.767007,123.427153,1899/12/30 7:30:00,110000,沈阳东软电脑城店,59975-294246,1
1,铁西区星摩尔零售商区一层GD-01单元北二中路6号,沈阳市,1899/12/30 21:30:00,"['OG', 'DL', 'MIC', 'PO']",伪,41.80874,123.376381,1899/12/30 9:00:00,110000,沈阳星摩尔店,16272-154648,1
1,沈河区一层L127单元青年大街185号,沈阳市,1899/12/30 21:00:00,"['OG', 'DL', 'MIC']",伪,41.764396,123.43617,1899/12/30 7:30:00,110000,沈阳茂业金廊店,3663-145744,1
1,铁西区华润铁西万象汇185商铺建设东路158号,沈阳市,1899/12/30 21:30:00,"['OG', 'BE', 'DL', 'MIC', 'NCB', 'RC', 'SBB']",伪,41.795799,123.372527,1899/12/30 8:00:00,110000,沈阳铁西广场店,27946-248804,1
1,铁西区None沈阳华润置地广场万象汇L5层505号商铺,沈阳市,1899/12/30 21:30:00,"['OG', 'MIC']",伪,41.795152,123.372699,1899/12/30 9:00:00,110000,沈阳铁西万象汇3店,54887-288623,1
1,皇姑区甲一层122、123铺位塔湾街11号,沈阳市,1899/12/30 21:00:00,"['OG', 'DL']",伪,41.825954,123.376875,1899/12/30 7:00:00,110000,沈阳中海环宇城店,20989-204205,1
1,皇姑区一层9107号黄河北大街56-41号9号,沈阳市,1899/12/30 21:30:00,"['OG', 'DL', 'MIC']",伪,41.856336,123.417501,1899/12/30 7:30:00,110000,沈阳中粮广场店,50492-271026,1
1,沈阳市和平区博览路2甲1号L1层,沈阳市,1899/12/30 21:30:00,"['OG', 'DL', 'MIC', 'PO']",伪,41.751905,123.43719,1899/12/30 10:00:00,110000,沈阳新世界K11店,60152-294422,1
1,铁西区万达广场一层156单元兴华南街58-20号,沈阳市,1899/12/30 21:30:00,"['OG', 'DL', 'MIC']",伪,41.780959,123.359256,1899/12/30 7:30:00,110000,沈阳万达店,3887-151624,1
1,和平区一层1023号南京南街201号,沈阳市,1899/12/30 21:30:00,"['OG', 'DL']",伪,41.745458,123.402465,1899/12/30 8:00:00,110000,沈阳长白大润发店,19094-196156,1
1,铁西区2号建设西路,沈阳市,1899/12/30 21:30:00,"['OG', 'DL', 'MIC', 'PO']",伪,41.803875,123.345163,1899/12/30 8:00:00,110000,沈阳铁西兴隆大都汇分店,53337-284567,1
1,浑南新区兴隆大奥莱一层B1-15营盘街5号,沈阳市,1899/12/30 22:00:00,"['OG', 'DL', 'MIC', 'PO']",伪,41.742466,123.456181,1899/12/30 9:00:00,110000,沈阳浑南兴隆奥莱店,48241-253867,1
1,沈阳市浑南区浑南西路8号万象生活城一层,沈阳市,1899/12/30 21:30:00,"['OG', 'DL', 'PO']",伪,41.737384,123.451459,1899/12/30 8:00:00,110000,沈阳万象生活城店,56760-290699,1
1,东陵区一层1037B营盘西街17号,沈阳市,1899/12/30 22:00:00,"['OG', 'DL', 'MIC', 'PO']",伪,41.734497,123.459121,1899/12/30 7:30:00,110000,沈阳浑南万达店,19678-202384,1
1,沈阳市和平区长白南路232号鹿特丹110,沈阳市,1899/12/30 22:00:00,"['OG', 'DL', 'PO']",伪,41.728432,123.397155,1899/12/30 8:00:00,110000,沈阳长白万科鹿特丹店,56116-290047,1
1,沈北新区道义南大街33号一层1F-01号单元沈阳市沈北新区,沈阳市,1899/12/30 21:00:00,"['OG', 'DL', 'PO']",伪,41.921254,123.400443,1899/12/30 8:30:00,110000,沈阳积家购物中心店,54122-286378,1
1,东陵区赛特奥莱一层A2-110单元双园路36号,沈阳市,1899/12/30 20:00:00,"['OG', 'MIC']",伪,41.844452,123.621249,1899/12/30 10:00:00,110000,沈阳赛特奥莱店,16721-174864,1
1,东陵区T3航站楼二层出发层国内隔离区桃仙镇桃仙国际机场,沈阳市,1899/12/30 21:00:00,['OG'],伪,41.633286,123.493179,1899/12/30 7:30:00,110000,沈阳桃仙机场店,18846-195666,1
1,沈阳市浑南区机场路199-1号沈阳桃仙国际机场T3航站楼一层到达区CY-14,沈阳市,1899/12/30 21:00:00,"['OG', 'MIC']",伪,41.63283,123.499117,1899/12/30 7:30:00,110000,沈阳桃仙机场到达门店,55791-289698,1
1,新抚区万达商业广场一层1038号铺位浑河南路中段56号、56-1号，56-2号,抚顺市,1899/12/30 22:00:00,"['OG', 'MIC']",伪,41.86471,123.902449,1899/12/30 8:00:00,113000,抚顺万达店,20302-204304,1
1,白塔区None新运大街万达广场1层,辽阳市,1899/12/30 21:00:00,"['OG', 'DL', 'MIC', 'PO']",伪,41.258967,123.209559,1899/12/30 9:00:00,111000,辽阳万达广场店,52781-282732,1
1,辽宁省本溪市平山区平山路与勇山街交汇处None东南角万达广场一层,本溪市,1899/12/30 21:30:00,"['OG', 'PO']",伪,41.289888,123.780599,1899/12/30 9:30:00,117000,本溪万达广场星巴克店,57014-291020,1
1,鞍山市立山区千山中路278甲号None万达购物广场一层星巴克店,鞍山市,1899/12/30 21:30:00,"['OG', 'MIC', 'PO']",伪,41.107061,123.057872,1899/12/30 8:30:00,114000,鞍山万达广场门店,59466-293713,1
1,铁东区百盛广场一楼二道街88号,鞍山市,1899/12/30 21:00:00,['OG'],伪,41.114472,122.991285,1899/12/30 8:30:00,114000,鞍山百盛店,19526-198725,1
1,铁东区新玛特商场一层胜利南街42号,鞍山市,1899/12/30 21:00:00,"['OG', 'PO']",伪,41.110713,122.996134,1899/12/30 8:00:00,114000,鞍山新玛特分店,19601-198726,1
1,铁东区乐都汇L1F022单元建国南路48号,鞍山市,1899/12/30 21:00:00,"['OG', 'MIC', 'PO']",伪,41.10874,122.984124,1899/12/30 8:30:00,114000,鞍山万象汇店,19677-201607,1
1,城西区国芳百货1F五四大街,西宁市,1899/12/30 23:00:00,"['OG', 'DL']",伪,36.628008,101.760189,1899/12/30 7:30:00,810000,西宁新宁国芳百货,26084-241628,1
